physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;type of house;parking
Москва, Большая Почтовая ул., 18/20к15;Количество комнат : 2;Общая площадь : 48 м²;5;1;4319500000;https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_48_m_15_et._4379726983?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : во двор, на улицу, на солнечную сторону;;Год постройки : 1926;Пассажирский лифт : нет;Тип дома : кирпичный;Парковка : открытая во дворе
Москва, Ленинградское ш., 25к3;Количество комнат : 4;Общая площадь : 136.9 м²;30;20;9141157000000;https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1369_m_2030_et._4124963847?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : совмещенный, раздельный;Окна : на улицу;Балкон или лоджия : лоджия;Год постройки : 2011;Пассажирский лифт : 1;Тип дома : монолитный;Парковка : подземная
Москва, ул. Ивана Франко, 6;Количество комнат : 3;Общая площадь : 65.5 м²;29;9;4132900000;https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_655_m_929_et._4397198949?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : во двор, на улицу;;Год постройки : 2022;Пассажирский лифт : 2;Тип дома : монолитный;Парковка : подземная
Москва, ул. Лобачевского, 120к1;Количество комнат : 3;Общая площадь : 83 м²;39;4;86731200000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_83_m_439_et._4472827877?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : требует ремонта;Санузел : совмещенный;Окна : во двор, на улицу, на солнечную сторону;;Год постройки : 2022;Пассажирский лифт : 2;Тип дома : монолитный;Парковка : подземная
Москва, ул. Народного Ополчения, 28к2;Количество комнат : 3;Общая площадь : 63.3 м²;12;6;1516950000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_633_m_612_et._4316917229?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : косметический;Санузел : раздельный;Окна : на улицу;Балкон или лоджия : балкон;Год постройки : 1974;Пассажирский лифт : 1;Тип дома : панельный;Парковка : открытая во дворе
Москва, Береговой пр., 1Б;Количество комнат : 4;Общая площадь : 109 м²;28;14;9141165000000;https://www.avito.ru/moskva/kvartiry/4-k._kvartira_109_m_1428_et._4277943050?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : раздельный;Окна : во двор, на улицу;Балкон или лоджия : балкон, лоджия;Год постройки : 2021;Пассажирский лифт : 2;Тип дома : монолитно-кирпичный;Парковка : подземная
Москва, Звонарский пер., 5;Количество комнат : 5;Общая площадь : 119 м²;5;5;497000000;https://www.avito.ru/moskva/kvartiry/5-k._kvartira_119_m_55_et._4365507537?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : во двор;;Год постройки : 1914;Пассажирский лифт : 1;Тип дома : кирпичный;
Москва, Очаковское ш., 13к2;Количество комнат : студия;Общая площадь : 12 м²;9;1;2500000124320000;https://www.avito.ru/moskva/kvartiry/dolya_v_kvartira-studii_12_m_19_et._4405979787?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : совмещенный;Окна : во двор;;Год постройки : 1970;Пассажирский лифт : 4;Тип дома : монолитный;Парковка : открытая во дворе
Москва, ул. Дружбы, 10/32;Количество комнат : 3;Общая площадь : 66.5 м²;8;2;116196426500000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_665_m_28_et._4602691058?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : требует ремонта;Санузел : раздельный;Окна : во двор, на улицу;;Год постройки : 1961;Пассажирский лифт : 1;Тип дома : кирпичный;Парковка : открытая во дворе
Москва, Северо-Западный административный округ, район Покровское-Стрешнево, жилой комплекс Сити Бэй, 95/2к5;Количество комнат : 1;Общая площадь : 38.1 м²;27;23;9141114800000;https://www.avito.ru/moskva/kvartiry/1-k._kvartira_381_m_2327_et._3900806184?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : косметический;Санузел : совмещенный;;;Год постройки : 2023;Пассажирский лифт : 1;Тип дома : монолитный;Парковка : подземная, открытая во дворе
